|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |
|0+  |     0|0000001111100111|  0  |      0|   0   |    0|    0|
|1   |     0|0000001111100111|  0  |      0|   0   |  999|    1|
|1+  |     0|1110110111100000|  0  |   1000|   0   |  999|    1|
|2   |     0|1110110111100000|  0  |   1001|   0   | 1000|    2|
|2+  |     0|1110001100001000|  0  |      0|   1   | 1000|    2|
|3   |     0|1110001100001000|  0  |      0|   1   | 1000|    3|
|3+  |     0|0000000000010101|  0  |      0|   0   | 1000|    3|
|4   |     0|0000000000010101|  0  |      0|   0   |   21|    4|
|4+  |     0|1110011111000010|  0  |      1|   0   |   21|    4|
|5   |     0|1110011111000010|  0  |      1|   0   |   21|    5|
